127.0.0.1 - - [20/Nov/2017:01:33:59 -0200] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:12:28 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:12:28 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:13:37 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12004
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:13:37 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:13:38 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:13:38 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:14:17 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12085
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:14:17 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:14:32 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:14:32 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:14:32 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:16:42 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:16:42 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:18:40 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12085
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:18:40 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:18:50 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:18:50 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:18:50 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:21:09 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12077
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:21:09 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:21:10 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:21:10 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:21:25 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12077
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:21:25 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:21:26 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:21:26 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12141
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/css/creative.css HTTP/1.1" 200 10786
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/js/creative.min.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/img/saipro.png HTTP/1.1" 200 16019
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:17 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:18 -0200] "GET /SAIPRO/img/header.jpg HTTP/1.1" 200 880022
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:18 -0200] "GET /SAIPRO/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:22:18 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:28:26 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12141
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:28:26 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:28:41 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12147
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:28:41 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:28:50 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12147
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:28:50 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:29:22 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12146
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:29:22 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:32:34 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12317
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:32:34 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:37:19 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:37:19 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:37:19 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12618
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/css/creative.css HTTP/1.1" 200 10786
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/js/creative.min.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/img/panoramica8.jpg HTTP/1.1" 200 142751
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/img/saipro.png HTTP/1.1" 200 16019
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/img/header.jpg HTTP/1.1" 200 880022
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:44 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:53 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12618
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:53 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:53 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:41:53 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:42:05 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12603
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:42:05 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:42:06 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:42:06 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:42:26 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12623
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:42:26 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:42:27 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:42:27 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:42:47 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12561
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:42:47 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:42:47 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:42:47 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:38 -0200] "GET /SAIPRO/ HTTP/1.1" 200 12543
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:38 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:38 -0200] "GET /SAIPRO/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:38 -0200] "GET /SAIPRO/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:38 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:38 -0200] "GET /SAIPRO/css/creative.css HTTP/1.1" 200 10786
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:38 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:39 -0200] "GET /SAIPRO/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:39 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:39 -0200] "GET /SAIPRO/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:39 -0200] "GET /SAIPRO/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:39 -0200] "GET /SAIPRO/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:39 -0200] "GET /SAIPRO/js/creative.min.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:39 -0200] "GET /SAIPRO/img/panoramica8.jpg HTTP/1.1" 200 142751
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:39 -0200] "GET /SAIPRO/img/saipro.png HTTP/1.1" 200 16019
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:39 -0200] "GET /SAIPRO/img/header.jpg HTTP/1.1" 200 880022
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:39 -0200] "GET /SAIPRO/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:39 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:45 -0200] "GET /SAIPRO/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:45 -0200] "GET /SAIPRO/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [20/Nov/2017:02:43:45 -0200] "GET /SAIPRO/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1119
