largura,altura,posicaoX-relativa,posicaoY-relativa,entropia,segundo-momento-ang,correlacao,energia,media,variancia,desvio-padrao,contraste,homogeneidade,dissimilaridade,media-tons-cinza,class
34,15,6,0,0.5986823542233503,0.35078541421249887,0.9160745961067441,0.592153187600544,11.790209871827518,0.6039338518947074,0.7747997846832516,0.1328643578643579,0.934289321789322,0.1317821067821068,99.0,atencao
59,13,7,0,0.2857885349143793,0.7065870415075355,0.7469602390931958,0.8405859142548806,13.92499770527057,0.12503024599825824,0.35300201373118545,0.06685296123124879,0.9665735193843757,0.06685296123124879,115.0,normal
91,22,3,0,0.6311686865007038,0.312986887018715,0.9494745175234565,0.5593611454505198,13.718553437303438,0.7429599536849758,0.8618591260676663,0.08102975067260781,0.9594851246636961,0.08102975067260781,114.0,atencao
25,28,7,9,0.8060866943897295,0.2306337379690674,0.8742960498265214,0.4800871183760099,13.127822696208115,0.8041679912107949,0.8957136078017023,0.21979552469135805,0.8911310442386832,0.21825231481481483,109.0,atencao
57,94,7,8,1.016452466608411,0.14566559427925438,0.9470252244490615,0.38143811216409923,14.932739977553414,1.9961387704098286,1.4126230075460486,0.21901835312084833,0.8915137661008887,0.21748393912887914,123.0,atencao
16,12,9,8,0.7191385038742166,0.22666492896133045,0.7776062455220553,0.4754268891075865,15.991777146464647,0.5227368839117181,0.7228812621661707,0.24403409090909092,0.8779829545454546,0.24403409090909092,132.0,normal
416,187,2,7,1.248484820258477,0.09443494382414626,0.9895042830712822,0.3072242833822889,14.180342280614308,9.379175946811579,3.0625359824234843,0.19689467791582724,0.9124040056875803,0.180300268704294,118.0,atencao
