nome;largura;altura;posicaoX;posicaoY;grau-textura;entropia;segundo-momento-ang;correlacao;energia;media-i;media-j;variancia-i;variancia-j;desvio-padrao-i;desvio-padrao-j;contraste;homogeneidade;media-tons-cinza;
97;14;17;567;291;90;0.6925660174340863;0.24190848214285715;0.8326869637522913;0.491841928004168;2.1071428571428568;2.1830357142857144;0.5420918367346939;0.5691764987244898;0.7362688617174393;0.7544378693600221;0.19196428571428573;0.904017857142857;84.0;
97;14;17;567;291;135;0.6894642424636575;0.2475036982248521;0.8298179155818524;0.49749743539525115;2.1634615384615383;2.1490384615384617;0.5117418639053254;0.578749075443787;0.7153613519790718;0.7607555950788577;0.1875;0.9062500000000001;84.0;
97;14;17;567;291;180;0.6739659166596232;0.2560758379230565;0.8446108205196354;0.506039364005466;2.2126696832579187;2.1266968325791855;0.5203824655514834;0.5631334329763928;0.7213753984933804;0.7504221698326835;0.1764705882352941;0.9117647058823528;84.0;
97;14;17;567;291;225;0.726930295650673;0.21588387573964496;0.7762312902817918;0.4646330549365219;2.235576923076923;2.0721153846153846;0.5358496671597633;0.5476839866863905;0.7320175320030001;0.7400567455853575;0.2692307692307693;0.8653846153846154;84.0;
97;14;17;567;291;270;0.6925660174340863;0.24190848214285715;0.8326869637522913;0.491841928004168;2.1830357142857144;2.1071428571428568;0.5691764987244898;0.5420918367346939;0.7544378693600221;0.7362688617174393;0.19196428571428573;0.904017857142857;84.0;
97;14;17;567;291;315;0.6894642424636575;0.2475036982248521;0.8298179155818524;0.49749743539525115;2.1490384615384617;2.1634615384615383;0.578749075443787;0.5117418639053254;0.7607555950788577;0.7153613519790718;0.1875;0.9062500000000001;84.0;
98;32;14;1457;1292;0;0.36316667469709796;0.4742190320457007;0.9255100877704139;0.6886356308278716;2.578341013824885;2.5599078341013826;0.2438626855528892;0.24641105141328123;0.4938245493623107;0.49639807756807564;0.03686635944700461;0.9815668202764977;100.0;
98;32;14;1457;1292;45;0.3901142383179543;0.4502028828451625;0.8693260094601543;0.6709715961537884;2.5459057071960296;2.6029776674937963;0.24789266604683236;0.23939559999753707;0.4978882063745157;0.48928069653066947;0.06699751861042184;0.966501240694789;100.0;
98;32;14;1457;1292;90;0.3904016243596643;0.4430588942307693;0.8541155423875884;0.6656266928472515;2.5360576923076925;2.612980769230769;0.24869984282544377;0.23723534578402367;0.49869814800683165;0.48706811205828665;0.07692307692307693;0.9615384615384616;100.0;
98;32;14;1457;1292;135;0.412919148468156;0.4243791908083911;0.8096001030411702;0.6514439276011337;2.5260545905707192;2.6228287841191067;0.24932115831019214;0.23491308979182185;0.49932069685743263;0.48467833641686714;0.10173697270471464;0.9491315136476426;100.0;
98;32;14;1457;1292;180;0.36316667469709796;0.4742190320457007;0.9255100877704139;0.6886356308278716;2.5599078341013826;2.578341013824885;0.24641105141328123;0.2438626855528892;0.49639807756807564;0.4938245493623107;0.03686635944700461;0.9815668202764977;100.0;
98;32;14;1457;1292;225;0.39011423831795433;0.4502028828451625;0.8693260094601541;0.6709715961537884;2.6029776674937963;2.54590570719603;0.23939559999753707;0.24789266604683236;0.48928069653066947;0.4978882063745157;0.06699751861042184;0.966501240694789;100.0;
98;32;14;1457;1292;270;0.3904016243596643;0.4430588942307693;0.8541155423875884;0.6656266928472515;2.612980769230769;2.5360576923076925;0.23723534578402367;0.24869984282544377;0.48706811205828665;0.49869814800683165;0.07692307692307693;0.9615384615384616;100.0;
98;32;14;1457;1292;315;0.412919148468156;0.4243791908083911;0.8096001030411701;0.6514439276011337;2.6228287841191067;2.5260545905707192;0.23491308979182185;0.24932115831019214;0.48467833641686714;0.49932069685743263;0.10173697270471464;0.9491315136476426;100.0;
